House_ID,Month,Average_Units,Current_Units,Theft_Label,Difference,Deviation_%,Usage_Ratio,High_Usage_Flag,Low_Usage_Flag,Target,Month_Encoded,Prediction,Theft_Status,AI_Reason
H1,Jan,433,443,0.0,10,2.3094688221709005,1.023094688221709,1,0,0.0,4.0,0,Normal,Very high usage detected
H1,Feb,371,347,0.0,-24,-6.46900269541779,0.9353099730458221,0,0,0.0,3.0,0,Normal,Normal usage
H1,Mar,371,363,0.0,-8,-2.15633423180593,0.9784366576819407,0,0,0.0,7.0,0,Normal,Normal usage
H1,Apr,371,379,0.0,8,2.15633423180593,1.0215633423180592,0,0,0.0,0.0,0,Normal,Normal usage
H1,May,471,453,0.0,-18,-3.821656050955414,0.9617834394904459,1,0,0.0,8.0,0,Normal,Very high usage detected
H1,Jun,475,476,0.0,1,0.21052631578947367,1.0021052631578948,1,0,0.0,6.0,0,Normal,Very high usage detected
H1,Jul,515,485,0.0,-30,-5.825242718446602,0.941747572815534,1,0,0.0,5.0,0,Normal,Very high usage detected
H1,Aug,371,353,0.0,-18,-4.8517520215633425,0.9514824797843666,0,0,0.0,1.0,0,Normal,Normal usage
H1,Sep,371,353,0.0,-18,-4.8517520215633425,0.9514824797843666,0,0,0.0,11.0,0,Normal,Normal usage
H1,Oct,371,391,0.0,20,5.3908355795148255,1.0539083557951483,0,0,0.0,10.0,0,Normal,Normal usage
H1,Nov,371,354,0.0,-17,-4.5822102425876015,0.954177897574124,0,0,0.0,9.0,0,Normal,Normal usage
H1,Dec,445,449,0.0,4,0.8988764044943821,1.0089887640449438,1,0,0.0,2.0,0,Normal,Very high usage detected
H2,Jan,234,230,0.0,-4,-1.7094017094017095,0.9829059829059829,0,0,0.0,4.0,0,Normal,Normal usage
H2,Feb,188,183,0.0,-5,-2.6595744680851063,0.973404255319149,0,0,0.0,3.0,0,Normal,Normal usage
H2,Mar,188,215,0.0,27,14.361702127659576,1.1436170212765957,0,0,0.0,7.0,0,Normal,Normal usage
H2,Apr,188,164,0.0,-24,-12.76595744680851,0.8723404255319149,0,0,0.0,0.0,0,Normal,Normal usage
H2,May,335,352,0.0,17,5.074626865671641,1.0507462686567164,0,0,0.0,8.0,0,Normal,Normal usage
H2,Jun,304,281,0.0,-23,-7.565789473684211,0.9243421052631579,0,0,0.0,6.0,0,Normal,Normal usage
H2,Jul,312,558,1.0,246,78.84615384615384,1.7884615384615385,1,0,1.0,5.0,1,Suspicious,"Unusually high consumption, Usage ratio too high, Very high usage detected"
H2,Aug,188,206,0.0,18,9.574468085106384,1.0957446808510638,0,0,0.0,1.0,0,Normal,Normal usage
